Default Unit of Measure,Item Code,Item Group,Item Name,Maintain Stock,Opening Stock,Brand,Shelf Life In Days,End of Life,Has Expiry Date,Barcode (Barcodes),Re-order Qty (Reorder level based on Warehouse),UOM (UOMs),Default Price List (Item Defaults)
Nos,3434,اكسسوارات,سلوس فايتي كليف,1,0,فايتي,0,2099-12-31,0,343434,,Nos,
Nos,34919,اكسسوارات,34919,1,0,,0,2099-12-31,0,7702018334919,,Nos,
Nos,350590,اكسسوارات,روج  سائل 330411,1,0,,0,2099-12-31,0,6977270350590,,Nos,
Nos,35306,اكسسوارات,35306,1,0,,0,2099-12-31,0,6281056335306,,Nos,
Nos,3709,اكسسوارات,3709,1,0,,0,2099-12-31,0,3401578653709,,Nos,
Nos,37101,اكسسوارات,37101,1,0,,0,2099-12-31,0,6291108737101,,Nos,
Nos,37190,اكسسوارات,37190,1,0,,0,2099-12-31,0,8809640737190,,Nos,
Nos,3737,اكسسوارات,اساور مسمار,1,0,,0,2099-12-31,0,373737,,Nos,
Nos,37897,اكسسوارات,37897,1,0,,0,2099-12-31,0,6291108737897,,Nos,
Nos,3817,اكسسوارات,3817,1,0,,0,2099-12-31,0,PB2501010203817,,Nos,
Nos,38405,اكسسوارات,38405,1,0,,0,2099-12-31,0,6291108738405,,Nos,
Nos,38436,اكسسوارات,38436,1,0,,0,2099-12-31,0,6291108738436,,Nos,
Nos,38573,اكسسوارات,38573,1,0,,0,2099-12-31,0,6291108738573,,Nos,
Nos,38597,اكسسوارات,38597,1,0,,0,2099-12-31,0,6291108738597,,Nos,
Nos,38610,اكسسوارات,38610,1,0,,0,2099-12-31,0,6291108738610,,Nos,
Nos,38849,اكسسوارات,38849,1,0,,0,2099-12-31,0,6291108738849,,Nos,
Nos,38877,اكسسوارات,38877,1,0,,0,2099-12-31,0,138877,,Nos,
Nos,39068,اكسسوارات,39068,1,0,,0,2099-12-31,0,6291108739068,,Nos,
Nos,39523,اكسسوارات,39523,1,0,,0,2099-12-31,0,6922211339523,,Nos,
Nos,39570,اكسسوارات,39570,1,0,,0,2099-12-31,0,8809596939570,,Nos,
Nos,39615,اكسسوارات,39615,1,0,,0,2099-12-31,0,6922211339615,,Nos,
Nos,400101,اكسسوارات,قطب كرت نيو مارك,1,0,,0,2099-12-31,0,6906036400101,,Nos,
Nos,40061,اكسسوارات,40061,1,0,,0,2099-12-31,0,9551001840061,,Nos,
Nos,401184,اكسسوارات,401184,1,0,,0,2099-12-31,0,8310039401184,,Nos,
Nos,40313,اكسسوارات,40313,1,0,,0,2099-12-31,0,010181040313,,Nos,
Nos,40358,اكسسوارات,اقلام ديموند 9244,1,0,,0,2099-12-31,0,6977925340358,,Nos,
Nos,40390,اكسسوارات,40390,1,0,,0,2099-12-31,0,8901248240390,,Nos,
Nos,40400,اكسسوارات,40400,1,0,,0,2099-12-31,0,6971335440400,,Nos,
Nos,40421,اكسسوارات,40421,1,0,,0,2099-12-31,0,3401348840421,,Nos,
Nos,40831,اكسسوارات,40831,1,0,,0,2099-12-31,0,6974479440831,,Nos,
Nos,4091,اكسسوارات,4091,1,0,,0,2099-12-31,0,40914091,,Nos,
Nos,4114,اكسسوارات,4114,1,0,,0,2099-12-31,0,100114114,,Nos,
Nos,4119,اكسسوارات,اسفنج مائي,1,0,,0,2099-12-31,0,4820230804119,,Nos,
Nos,41278,اكسسوارات,41278,1,0,,0,2099-12-31,0,3600530941278,,Nos,
Nos,41414,اكسسوارات,41414,1,0,,0,2099-12-31,0,4000141414,,Nos,
Nos,41414,اكسسوارات,قطب كرز,1,0,,0,2099-12-31,0,5000141414,,Nos,
Nos,41451,اكسسوارات,41451,1,0,,0,2099-12-31,0,6920511341451,,Nos,
Nos,41456,اكسسوارات,41456,1,0,,0,2099-12-31,0,052336341456,,Nos,
Nos,43213,اكسسوارات,43213,1,0,,0,2099-12-31,0,743213,,Nos,
Nos,43558,اكسسوارات,لمعه جسم فازلين,1,0,,0,2099-12-31,0,305210043558,,Nos,
Nos,43788,اكسسوارات,43788,1,0,,0,2099-12-31,0,6920251543788,,Nos,
Nos,43825,اكسسوارات,43825,1,0,,0,2099-12-31,0,6920251543825,,Nos,
Nos,43863,اكسسوارات,43863,1,0,,0,2099-12-31,0,6920251543863,,Nos,
Nos,43930,اكسسوارات,43930,1,0,,0,2099-12-31,0,6930381543930,,Nos,
Nos,44277,اكسسوارات,44277,1,0,,0,2099-12-31,0,0376662844277,,Nos,
Nos,447447,اكسسوارات,كلبس كرز,1,0,,0,2099-12-31,0,447447447,,Nos,
Nos,45617,اكسسوارات,45617,1,0,,0,2099-12-31,0,7509552845617,,Nos,
Nos,46122,اكسسوارات,46122,1,0,,0,2099-12-31,0,6974772946122,,Nos,
Nos,46134,اكسسوارات,اقلام كحل عريض ابيض+ازرق,1,0,,0,2099-12-31,0,6920982846134,,Nos,
Nos,4646,اكسسوارات,4646,1,0,,0,2099-12-31,0,464646,,Nos,
Nos,4653,اكسسوارات,4653,1,0,,0,2099-12-31,0,011111054653,,Nos,
Nos,4705,اكسسوارات,4705,1,0,,0,2099-12-31,0,033200194705,,Nos,
Nos,4747,اكسسوارات,4747,1,0,,0,2099-12-31,0,474747,,Nos,
Nos,47535,اكسسوارات,47535,1,0,,0,2099-12-31,0,6977740247535,,Nos,
Nos,478021,اكسسوارات,478021,1,0,,0,2099-12-31,0,8901248478021,,Nos,
Nos,4848,اكسسوارات,4848,1,0,,0,2099-12-31,0,484848,,Nos,
Nos,48538,اكسسوارات,48538,1,0,,0,2099-12-31,0,6903645548538,,Nos,
Nos,49280,اكسسوارات,49280,1,0,,0,2099-12-31,0,4928049280,,Nos,
Nos,4949,اكسسوارات,4949,1,0,,0,2099-12-31,0,494949,,Nos,
Nos,500081,اكسسوارات,500081,1,0,,0,2099-12-31,0,6294007500081,,Nos,
Nos,500142,اكسسوارات,500142,1,0,,0,2099-12-31,0,6294007500142,,Nos,
Nos,5009695,اكسسوارات,5009695,1,0,,0,2099-12-31,0,9853415009695,,Nos,
Nos,501316,اكسسوارات,501316,1,0,,0,2099-12-31,0,6294007501316,,Nos,
Nos,501323,اكسسوارات,501323,1,0,,0,2099-12-31,0,6294007501323,,Nos,
Nos,501330,اكسسوارات,501330,1,0,,0,2099-12-31,0,6294007501330,,Nos,
Nos,501446,اكسسوارات,501446,1,0,,0,2099-12-31,0,6294007501446,,Nos,
Nos,501989,اكسسوارات,501989,1,0,,0,2099-12-31,0,6294007501989,,Nos,
Nos,502689,اكسسوارات,502689,1,0,,0,2099-12-31,0,6294007502689,,Nos,
Nos,503211,اكسسوارات,503211,1,0,,0,2099-12-31,0,6294007503211,,Nos,
Nos,504218,اكسسوارات,504218,1,0,,0,2099-12-31,0,6294007504218,,Nos,
