Item Code,Item Name,Raw Barcode,Clean Barcode,Changed
1919,خواتم زركون منوع,191919,191919,0
2222,خواتم أبو فص زركون,222222,222222,0
255255,خواتم بناتي مطلي,255255255,255255255,0
28228,سلوس استيل كرت قصير,228228228,228228228,0
3131,سلوس استيل 2 خط,313131,313131,0
3232,سلوس استيل منوع,323232,323232,0
3333,سلوس استيل جنيهات,333333,333333,0
3535,سلوس استيل مربع + منوع,353535,353535,0
4141,سلوس استيل 3 خط,414141,414141,0
4242,سلوس استيل مع القطب شانل,424242,424242,0
130130,سلوس زركون ريديوم,130130130,130130130,0
B292976,شنط اطفال,B292976,B292976,0
B293012,شنط اطفال,B293012,B293012,0
B293018,شنط اطفال,B293018,B293018,0
B293028,شنط اطفال,B293028,B293028,0
B293084,شنط اطفال,B293084,B293084,0
B293098,شنط اطفال,B293098,B293098,0
B292960,شنط بناتي شد 60 حبة,B292960,B292960,0
B292962,شنط بناتي شد 60,B292962,B292962,0
B292968,شنط بناتي شد 60 حبه,B292968,B292968,0
B292970,شنط بناتي شد 60 حبة,B292970,B292970,0
B292971,شنط بناتي شد 60 حبه,B292971,B292971,0
B292981,شنط بناتي شد 60 حبة,B292981,B292981,0
B292986,شنط بناتي شد 60 حبة,B292986,B292986,0
B292991,شنط بناتي شد 60 حبة,B292991,B292991,0
B293001,شنط بناتي شد 60,B293001,B293001,0
B293016,شنط بناتي شد 60 حبة,B293016,B293016,0
B293017,شنط بناتي شد 60 حبه,B293017,B293017,0
B293020,شنط بناتي شد 60 حبة,B293020,B293020,0
B293025,شنط بناتي شد 60 حبة,B293025,B293025,0
B293035,شنط بناتي شد 60 حبة,B293035,B293035,0
B293038,شنط بناتي شد 60 حبة,B293038,B293038,0
B293040,شنط بناتي شد 60 حبه,B293040,B293040,0
B293044,شنط بناتي شد 60 حبه,B293044,B293044,0
B293048,شنط بناتي شد 60 حبة,B293048,B293048,0
B293054,شنط بناتي شد 60 حبة,B293054,B293054,0
B293058,شنط بناتي شد 60 حبة,B293058,B293058,0
B293061,شنط بناتي شد 60 حبة,B293061,B293061,0
B293063,شنط بناتي شد 60,B293063,B293063,0
B293064,شنط بناتي شد 60,B293064,B293064,0
B293074,شنط بناتي شد 60,B293074,B293074,0
B293101,شنط بناتي شد 60 حبه,B293101,B293101,0
12335,شنط طقم ادوات اظافر,5000112335,5000112335,0
B292667,شنطة نسائية شد 36,B292667,B292667,0
B292743,شنطة نسائية شد 24,B292743,B292743,0
B292928,شنط نسائي,B292928,B292928,0
B293397,شنط نسائي,B293397,B293397,0
B293499,شنط نسائي,B293499,B293499,0
B2935,شنطة نسائي,B293591,B293591,0
B293563,شنط نسائي,B293563,B293563,0
B293595,شنط نسائي,B293595,B293595,0
B2936,شنط نسائي,B293652,B293652,0
B293600,شنط نسائي,B293600,B293600,0
B293610,شنطة يد نسائي,B293610,B293610,0
B29362,شنط نسائي,B293621,B293621,0
B293621,شنط نسائي,1101201921565,1101201921565,0
B293640,شنط نسائي,B293640,B293640,0
B293658,شنطة يد نسائي,B293658,B293658,0
B293663,شنط نسائي,B293663,B293663,0
B29371790,شنطة  نسائي,6921530096278,6921530096278,0
B298080,شنطة نسائية,B298080,B298080,0
737,شنط يد نسائي,3867146993538,3867146993538,0
B293357,شنط يد نسائي,B293357,B293357,0
B293477,شنط يد نسائي,B293477,B293477,0
B2939,شنط يد نسائي,B293908,B293908,0
B2939,شنط يد نسائي,B293919,B293919,0
B2939,شنط يد نسائي,B293954,B293954,0
B2939,شنط يد نسائي,B293969,B293969,0
B2939,شنط يد نسائي,B293975,B293975,0
B2939,شنط يد نسائي,B293984,B293984,0
B293913,شنط يد نسائي,B293913,B293913,0
B293938,شنط يد نسائي,B293938,B293938,0
B29394,شنط يد نسائي,B293946,B293946,0
B293983,شنط يد نسائي,B293983,B293983,0
B29399,شنط يد نسائي,B293995,B293995,0
B293990,شنط يد نسائي,B293990,B293990,0
B298160,شنط يد نسائي,B298160,B298160,0
S110825,صندل نسائي مقاس 36-41 (شد 24),S110825,S110825,0
S110828,صندل نسائي مقاس 36-41 (شد 24),S110828,S110828,0
S160011,صندل نسائي م36-41 (شد 24),S160011,S160011,0
S160014,صندل نسائي م36-41ش24,ٍ160014,160014,1
S160018,صندل نسائي م36-41ش24,ٍ160018,160018,1
S160019,صندل نسائي م36-41 (شد 24),S160019,S160019,0
S210212,صندل نسائي مقاس 36-41 (شد 24),6900452102120,6900452102120,0
S210216,صندل نسائي مقاس 36-41 (شد 24),6900452102168,6900452102168,0
113370,طقم اطواق 10 موديل 5/8,6920251133705,6920251133705,0
161809,طقم اطواق مع الكلبس عدد الاشكال 10 4/5,6932164567867,6932164567867,0
121212,طقوم استيل مربع,5000121212,5000121212,0
31313,طقوم استيل خفيف منوع,5000131313,5000131313,0
4343,طقوم استيل فايتي كليف,434343,434343,0
4444,طقوم استيل مربع,444444,444444,0
4545,طقوم استيل شكل ورقة,454545,454545,0
AS-120120,طقوم استيل خناق,120120120,120120120,0
236514789632,طقوم زركون راقي,236514789632145,236514789632145,0
3939,طقوم زركون خناق,393939,393939,0
4040,طقوم زركون ملون,404040,404040,0
6262,طقوم زركون خناق طو,626262,626262,0
6464,طقوم زركون كرت اصفر,646464,646464,0
6565,طقوم زركون كرت ازرق,656565,656565,0
